Poem Name,Poem Content,jist
Pathogenesis,"Sea of strangers exhales.               
                                              Something natural
 
reorders us                without consent.           We reorder         
 
            the coastline.               My therapist:         
 
                                                           what do you feel 
 
 in your stomach?     In your chest?    I feel nothing.  Nothing 
 
matters. I touch nothing.    I’m angry.   Stop
 
asking.                 Have you ever stood on a shore, 
 
felt the water change heights?  Felt the wet sand rush to squeeze
 
your legs too tight? 
 
                               In each of us:
 
                                            possibility,   a knife wedged 
 
           under the mattress, a new strangeness, an undiscovered way 
 
       we could touch each other, a bird never heard before 
 
   singing, an untaken path, 
 
                                    or genesis.","Sea of strangers exhales. We reorder the coastline without consent. In each of us, there is a new strangeness, an undiscovered way to touch each other."
The Bird-Choros of Ion,"translated by H. D.
Birds from Parnassus,
swift
you dart
from the loftiest peaks;
you hover, dip,
you sway and perch
undaunted on the gold-set cornice;
you eagle,
god’s majestic legate,
who tear, who strike
song-birds in mid-flight,
my arrow whistles toward you,
swift
be off;

ah drift,
ah drift
so soft, so light,
your scarlet foot so deftly placed
to waft you neatly
to the pavement,
swan, swan
and do you really think
your song
that tunes the harp of Helios,
will save you
from the arrow-flight?
turn back,
back
to the lake of Delos;

lest all the song notes
pause and break
across a blood-stained throat
gone songless,
turn back,
back
ere it be too late,
to wave-swept Delos.

Alas, and still another,
what?
you’d place your mean nest
in the cornice?
sing, sing
my arrow-string,
tell to the thief
that plaits its house
for fledglings
in the god’s own house,
that still the Alpheus
whispers sweet
to lure
the birdlets to the place,
that still the Isthmus
shines with forests;
on the white statues
must be found
no straw nor litter
of bird-down,
Phœbos must have his portal fair;

and yet, O birds,
though this my labour
is set,
though this my task is clear,
though I must slay you,
I, god’s servant,
I who take here
my bread and life
and sweep the temple,
still I swear
that I would save you,
birds or spirits,
winged songs
that tell to men god’s will;

still, still
the Alpheus whispers clear
to lure the bird-folk
to its waters,
ah still
the Isthmus
blossoms fair;
lest all the song notes
pause and break
across a blood-stained throat
gone songless,
turn back,
back
ere it be too late,
to wave-swept Delos.","Birds from Parnassus. translated by H. D. D’Souza. ‘I, god’s servant, who take here my bread and life and sweep the temple, still I swear I would save you’ ‘‘Birds or spirits’ – ‘Songs of Helios’."
Dirt Cakes,"My Grandmother’s body lives
under an ash tree
on an old church ground,
her spirit can be seen making
a maple tree’s shadow jealous.
 
The church’s bricks absorb
the choir’s songs, they flake Holy Ghost,
If Trouble Don’t Come Today.
 
I visit, fall on my knees,
ask her how she doing?
How long is her hair now?
 
Does she still like it braided
in front? Still like having
her scalp scratched?
What y’all doing
in heaven today?
 
She’d tell my mama
don’t let a bird get the hair that falls
out your head, they’ll use it to build a nest
and you’ll never leave Rolesville. Dirt
 
is the only thing I know that can’t die,
it makes sense
we would bury here, makes sense
mama don’t want me playing in it.
 ",My Grandmother’s body lives under an ash tree on an old church ground. Her spirit can be seen making a maple tree's shadow jealous. Dirt is the only thing I know that can’t die.
"Same Oaks, Same Year","My cousin kept me and his little brother 
saved me from our uncle’s
pit bull, then spent seven years 
in prison for his set.
Every other word 
he said was 
blood.
  Uncle Nuggie showed us
how to make a BB rattle 
inside a squirrel.
Two small holes, 
enter and exit.
All summer I wondered 
what leaves the body?
 ","My cousin kept me and his little brother from our uncle’s pit bull, then spent seven years in prison for his set. Uncle Nuggie showed us how to make a BB rattle inside a squirrel."
Gin River,"If the Neuse River was gin
we would’ve drunk to its bottom,
its two-million-year-old currents,
shad, sunfish, redhorse, yellow lance,
All the blood from the Tuscarora War. 
We would have drunk it all,
aunts and uncles would have led us in Big Bill Broonzy’s 
“When I Been Drinking,”
until everything inside us began to dance 
and we all joined in,
silt around our ankles,
everyone kicking sand. 
 ","If the Neuse River was gin                we would’ve drunk to its bottom,                its two-million-year-old currents.                shad, sunfish, redhorse, yellow lance,                All the blood from the Tuscarora War.                aunts and uncles would have led us in Big Bill Broonzy’s                 "
Odysseus at the Mast,"They lashed him halfway up the mast
And he screamed above the silent oarsmen
As they rowed him relentlessly away
From the bone-cluttered island shore of the Sirens
Sitting in the flowers singing unearthly promise.
            They saw the ship go by,
            and the madman raving there.
            One of them stood up,
            still singing, and made gestures
            with her aching body, using
            hands between thighs, showing
            as well as singing.
            The ship went on by wind and oars.
            The voices faded.
            They shrugged, sucked their sharp teeth,
            and went back to their flowers.
His anxious men, blessed with the silence
Of the blind, saw only the soundless agony
As he fought the bonds of the rigid mast
For the vision the Sirens never dreamed
In a word that faded for ever as he moved
Through life after life in the ship at the mast
And his screaming for release, ceased.
They lowered him down among their flesh
And he mastered again his own flesh and his ship
And remembered, once, an impotent whim for mutiny.","They lashed him halfway up the mast and he screamed above the silent oarsmen. They lowered him down among their flesh and he mastered again his own flesh and his ship. He remembered, once, an impotent whim for mutiny."
No Ghost Abandoned,"We still celebrate
my Grandmother’s birthday
by frying a slab of fish,
smothering flounder
in Texas Pete,
chicken in Sweet Baby Ray’s,
someone puts on Marvin,
someone says I love you.
How can we lift enough
smoke to reach you?
Our cookout has the blues,
I can’t tell you why
I walk old country roads
looking for your spirit.
I hear you speaking
near the river,
where the water
slows against rocks.
My mother says
the best thing to do
is get addicted to God.
But I write from inside my body,
what’s the price of being
obsessed with the dead?
No ghost abandoned,
you mostly
speak of wind.
Someone put on Marvin,
someone say I love you.
In my purple bedroom,
I’ve heard a woman
long dead speak of gardens,
tomatoes, squash,
white tobacco flowers, lilies
are pretty, but they are weeds.
By the elementary school
we used to pick sweet potatoes,
played games like
that’s my car,
that’s my house.
The lands murmurs
in our hands,
where to grow
the biggest melons,
the place where June Bug
finally died,
what’s so sweet
must be sacred.
We mended the horses
rubbed an old mane
until it was time,
you prepare
an old man for death
by reminding him
of his legs, of his work,
I can still see your silhouette
in the window like a kiss
to a father long gone.
In the kitchen where
I haven’t stepped-in today,
I can hear you
among the spoons
and butter knives
in the drawer.
What do you think
when you see my loneliness?
Living ghost? I must learn
the language of rain
to speak to plants
and the Genesis of how seed
turns to flower.
     ",I walk old country roads looking for your spirit. I can still see your silhouette in the window like a kiss to a father long gone. I must learn the language of rain and the Genesis of how seed turns to flower.
"January 16, 1967: 5:30 P.M.","so that you will know where the sun was
     . Too cold to look up but going downhill
home, I saw the pink contrail, so high
it began the length of my thumb behind
     the silver nail, going somewhere northwest,
just going, like one of the kids running down the street
streaming long crepe paper behind just to keep
     it in the air. “Beautiful,” I said,
committing myself, thinking about the
cold up there surrounding the pilot
     in the cockpit, comforted by warm
instruments and dialfaces. Then, more than
I could bear, another, coming from where
     the first was going, their flight patterns
giving them all the margin of safety
from fingertip to elbow they passed––
     the ductile, malleable cold making
pink parallel bars that showed how pilots
go from where to when, and why horizons
     lose their distance between the points of going.
Forced into a judgment this time, I saw
that it was good and let them go wherever
     they were going, let the sun go down,
and turned the corner home to my own warm faces, and rested.","The pink contrail was so high it began the length of my thumb behind the silver nail, going somewhere northwest. “Beautiful,” I said, thinking about the cold up there surrounding the pilot."
Aloft,"I drove East Genesee Street to West Genesee Street
while the sun was setting––the cold winter sun
slowly withdrawing from the walls
of black snow.
I was not driving anywhere in particular, just driving––
and I remembered what Sam once said
about never having been on his way anywhere,
but simply on his way.
And I thought of a dream I’d had
in which I dreamt that I was dreaming––
in which I was also driving
past stolen goods: TVs and stereo equipment
left on the side of the expressway exit ramp
to kiss the immaterial in the night.
Once, years ago, I was suddenly lost
below a huge overcast sky and driving past rows
of anonymous houses
some still with their long leftover Christmas lights
and identical white mailboxes––
and in passing, I glimpsed
a man running up his driveway with two garbage cans
––one in each hand––
He wore a black pinstriped suit.
The garbage cans were his wings, his galvanized steel wings.","I was not driving anywhere in particular, just driving. I remembered what Sam once said about never having been on his way anywhere. I glimpsed a man running up his driveway with two garbage cans. He wore a black pinstriped suit."
If There Is Another World,"If there is another world,
I think you can take a cab there––
or ride your old bicycle
down Junction Blvd.
past the Paris Suites Hotel
with the Eiffel Tower on the roof
and past the blooming Magnolia and on––
to the corner of 168th Street.
And if you’re inclined to,
you can turn left there
and yield to the blind
as the sign urges us––
especially since it is a state law.
Especially since there is a kind of moth
here on the earth
that feeds only on the tears of horses.
Sooner or later we will all cry
from inside our hearts.
Sooner or later even the concrete
will crumble and cry in silence
along with all the lost road signs.
Two days ago 300 televisions
washed up on a beach in Shiomachi, Japan,
after having fallen off a ship in a storm.
They looked like so many
oversized horseshoe crabs
with their screens turned down to the sand.
And if you’re inclined to, you can continue
in the weightless seesaw of the light
through a few more intersections
where people inside their cars
pass you by in space
and where you pass by them,
each car another thought––only heavier.","If there is another world, I think you can take a cab there, or ride your old bicycle down Junction Blvd., past the Eiffel Tower and the Magnolia. If you’re inclined to, you can turn left there and yield to the blind, especially since it is a state law."
loose strife (Afterward one woman says the killing fields),"Afterward    one    woman   says   the     killing      fields
are           only             three          kilometers         away
and            that          you      can           walk          there.
The     other     woman   says    it’s    more   than    fifty
and      simply      points   to      the     darkening      sky.",One woman says it’s    more   than   fifty kilometers away. The other woman simply points to the darkening sky.
Poetry,"There’s no sense
in telling you my particular
troubles. You have yours too.
Is there value
in comparing notes?
Unlike Williams writing
poems on prescription pads
between patients, I have
no prescriptions for you.
I’m more interested
in the particular
nature and tenor of the energy
of our trouble. Maybe
that’s not enough for you.
Sometimes I stick in
some music. I’m capable
of hallucination
so there’s nothing wrong
with my images. As for me,
I’m not looking for wisdom.
The wise don’t often write
wisely, do they? The danger
is in teetering into platitudes.
Maybe Keats was preternaturally
wise but what he gave us
was beauty, whatever that is,
and truth, synonymous, he wrote,
with beauty, and not the same
as wisdom. Maybe truth
is the raw material of wisdom
before it has been conformed
by ego, fear, and time,
like a shot
of whiskey without
embellishment, or truth lays bare
the broken bone and wisdom
scurries in, wanting
to cover and justify it. It’s really
kind of a nasty
enterprise. Who wants anyone
else’s hands on their pain?
And I’d rather be arrested
than advised, even on my
taxes. So what
can poetry be now? Dangerous
to approach such a question,
and difficult to find the will to care.
But we must not languish, soldiers,
(according to the wise,)
we must go so far as to invent
new mechanisms of caring.
Maybe truth, yes, delivered
with clarity. The tone is up
to you. Truth, unabridged,
has become in itself a strange
and beautiful thing.
Truth may involve a degree
of seeing through time.
Even developing a relationship
with a thing before writing,
whether a bird
or an idea about birds, it doesn’t
matter. But please not only
a picture of a bird. Err
on the side of humility, though
humility can be declarative.
It does not submit. It can even appear
audacious. It takes mettle
to propose truth
and pretend it is generalizable.
Truth should sting, in its way,
like a major bee, not a sweat bee.
It may target the reader like an arrow,
or be swallowable, a watermelon
seed we feared as children
would take up residency in our guts
and grow unabated and change us
forever into something viny
and prolific and terrible.
As for beauty, a problematic word,
one to be side-eyed lest it turn you
to stone or salt,
it is not something to work on
but a biproduct, at times,
of the process of our making.
Beauty comes or it doesn’t, as do
its equally compelling counterparts,
inelegance and vileness.
This we learned from Baudelaire,
Flaubert, Rimbaud, Genet, male poets
of the lavishly grotesque.
You’ve seen those living rooms,
the red velvet walls and lampshades
fringed gold, cat hair thick
on the couches,
and you have been weirdly
compelled, even cushioned,
by them. Either way,
please don’t tell me flowers
are beautiful and blood clots
are ugly. These things I know,
or I know this is how
flowers and blood clots
are assessed by those content
with stale orthodoxies.
Maybe there is such a thing
as the beauty of drawing near.
Near, nearer, all the way
to the bedside of the dying
world. To sit in witness,
without platitudes, no matter
the distortions of the death throes,
no matter the awful music
of the rattle. Close, closer,
to that sheeted edge.
From this vantage point
poetry can still be beautiful.
It can even be useful, though
never wise.
 ","Poetry is the raw material of wisdom before it has been conformed by ego, fear, and time. Truth, unabridged, has become in itself a strange and beautiful thing. Truth should sting, in its way, like a major bee, not a sweat bee."
Gertrude Stein,"I’d just brushed the dog, there on the dog’s couch.
I was wearing a black—well, to call it a gown is a criminal
overstatement—a black rag. It became clear to me—
and when I say clear I mean the moment went crystal cathedral—
I could see my life from—not a long shot—
but what they used to call an increment apart—a baby step
to the right or left of myself—about the width of a corrective
baby shoe. There I was, broad-shouldered, witch-shaped
without the associated magic—with my dog in my shack—
once mauve faded to pink—beyond sex or reason—
a numbness had set in—Gertrude Stein, Picasso’s portrait of her—
that above-it-all—or within-it-all—look on—not a face
but the planes that suggest a face—the eyes
aren’t really lined up right or the real eyes are peering
from behind the cut-out shapes of eyes. The couch
had been a sort of—not a gift—but a donation of sorts
from a person with plenty of money. When it was dragged
into my house it was already—stately—but with worn patches
and stains. A trinity of dogs over time had laid claim to it—
three egotists. To brush the dog meant I had to visit it
in its monarchy—and in that visit—that single prismatic
increment—I saw I’d become—maybe all arrive in their own time—
some before dying, some after—a draped artifact—
haystack or headstone rising out of the plains—
and then, with fascination—and a degree
of sadness and even objectivity—I loved—
as I once loved “Tender Buttons”—myself.
 ","I was wearing a black—well, to call it a gown is a criminal                overstatement—a black rag. I’d just brushed the dog, there on the dog’s couch. It became clear to me—and when I say clear I mean the moment went crystal cathedral."
Weeds,"The danger of memory is going
to it for respite. Respite risks
entrapment. Don’t debauch
yourself by living
in some former version of yourself
that was more or less naked. Maybe
it felt better then, but you were
not better. You were smaller, as the rain
gauge must fill to the brim
with its full portion of suffering.
What can memory be in these terrible times?
Only instruction. Not a dwelling.
Or if you must dwell:
The sweet smell of weeds then.
The sweet smell of weeds now.
An endurance. A standoff. A rest.
 ","Don't debauch yourself by living in some former version of yourself that was more or less naked. Maybe it felt better then, but you were                not better. The danger of memory is going                to it for respite."
Comma,"To never be touched again. That line
has a sound. Hear it?
I don’t want to bring a story
to it. Not even an image.
It has a sound. Listen.
To never be touched. Oh, a nurse,
a doctor, but never to be touched in that way.
You know what way. Listen.
Hear it. Let’s not tag it with a feeling.
Give me a break. What possible song
would you play when you toss my ashes,
someone once asked me.
There is no song, he said. Don’t
narrativize, Diane. Don’t narrativize Diane.
See what a comma can do?
 ","It has a sound. Listen. Let’s not tag it with a feeling. What possible song would you play when you toss my ashes, someone once asked me. To never be touched again."
Curl,"No longer at home in the world
and I imagine
never again at home in the world.
Not in cemeteries or bogs
churning with bullfrogs.
Or outside the old pickle shop.
I once made myself
at home on that street,
and the street after that,
and the boulevard. The avenue.
I don’t need to explain it to you.
It seems wrong
to curl now within the confines
of a poem. You can’t hide
from what you made
inside what you made
or so I’m told.
 ","I once made myself                at home on that street,                and the street after that,                 and the boulevard.                I don’t need to explain it to you.                It seems wrong to curl now within the confines of a poem."
Charity Balls,"I had a fellowship, but lived poorly
On slices of pizza.
Later, a career of washing lettuce;
but I have always been the same.
It’s a question of acquiring a mastery of tone
Beneath the crystal chandeliers and champagne
on a glass table top.
At the age of five I thought Scarlett O’Hara
a fictional character. It was not until
The age of forty-eight I knew she was real.
Old clothes and bedroom slippers and a scarf
Wrapped around her head
In low cost tenement housing.
She began talking about my writing
And her sex life.
I’m curt by nature and dolorous.
But I knew if I worked hard I’d eventually make it.",At the age of five I thought Scarlett O’Hara                a fictional character. It was not until age of forty-eight I knew she was real. I’m curt by nature and dolorous. But I knew if I worked hard I would eventually make it.
au rive,"What kind of poem would one write if one could?
What would one do with some money, if he had it, perhaps
       to travel; but to where?
To experience Wednesday twilight, immediately after
       dark: is that a promise to be kept
Naturally one can’t be sure until any of these things don’t
       come true?","What would one do with some money, if he had it, perhaps to travel; but to where? What kind of poem would one write if one could?Naturally one can’t be sure until any of these things don't come true."
Music,"   For Gerrit
  What is poetry? an image
      in the mirror;
reflection from a broadside
    pinned to the wall,
    penned by a friend,
        from where old feelings
        old meanings arise;
relief from pain; the diligence of work.
Mysterious words upon a page in adolescence;
listening to poets read. What is poetry?
       Breath, competence, success
or simply Eros.
                          “Four sides to every thing.”
The increase in electricity causes lights to flow.
   Is it only light, or heat,
      words ordered in a row.
Men or gods. I’ll never know
      or try to know
          more than the doing,
                  the flowing
rain upon the roof. That one hears,
                  and reveres
inside, away from the cold
    within the house
       where the heat
reminds one of what it is to be like
               out in the cold
   rushing over the field
     mad,
Intelligence or emotion?     language.",What is poetry? an image in the mirror; reflection from a broadside pinned to the wall; relief from pain; the diligence of work. The increase in electricity causes lights to flow.
Money Is Not Monogamous,"A poor man cannot make use of himself.
He is demoralized through excessive beat exertion.
He cannot take orders even for the good of himself
Usually quite to the contrary.
He surrenders for despair although believes surrounding conditions.
He produces fiery revolution in unconscious rebellion.
He believes anything that happens
as misfortune of others.
Quickening as rain on highways, he plunges into chance
faith, duty or conscience culminating legends
of eros, beauty, will & condition
upon distance or parent organization.
He swims with the tide, taking care
he has undressed for it & surveyed its relation
to majority use, freely contributing to its content & current form,
little saving resources toward relentless tides
of time, shallow depths & eventual discharge.
He recognizes none of these fears, not their predicted fact.",A poor man cannot make use of himself. A poor man is demoralized through excessive beat exertion. He produces fiery revolution in unconscious rebellion. He believes anything that happens is the misfortune of others.
Reading in Bed,"by evening light, at the window, where wind blows
it’s not enough to wake with morning
as a child, the insistent urge of habit
sounds, to write a poem, to pore over one’s past
recall ultimate orders one has since doubted
in despair. Inner reality returns
of moonlight over water at Gloucester, as
fine a harbor as the Adriatic, Charles said, before the big storm
blew up to land ancient moorings, shards against sand
of memory at midnight; ah yes the dream begins
of lips pressed against yours over waves, tides,
hour-long auto rides into dawn, when time
pounds a mystery on the beach, to no death out of reach.","It’s not enough to wake with morning                as a child, the insistent urge of habit                sounds, to write a poem. Inner reality returns                of moonlight over water at Gloucester, as                fine a harbor as the Adriatic, Charles said."
kretek-ing,"translated by Pauline Fan
i like to watch your breast heave, the pulse of your green veins
smoldering at the crack of my lips,
your brimming breath speaks passion
bloodrush like the swell of desire in a room
surging higher and higher to my eyes, craving life;
our mouths thirst for milk and wellsprings
our clothes laugh, unashamed, into death throes
oblivious to the day’s disquiet;
you close your eyes, compose your shoulders, offer your neck
and tiny hairs unfurl into games and crosswords,
my nose is doglike, my fingers swarm around you
your smiling breath hoists my clavicle
like a wheel that rises and falls with your sighs
—at last you inhale a whole spirit
with several lives—while your eyes wink in pleasure;
i finger the kretek lit by her body,
as smoke seeps to your sublime realm of solemn jest and becomes a city;
i have touched it, i seize it all on a day like this
on a day you urge me to conquer, a day like this.
    ngeretek 
  senang menyaksikan degup dada, degup urat hijaumu
oleh kerana aku hangat di rekahan bibir
ruah nafasmu bercakap berahi
alir deras darah sebagai ghairah di kamar
makin lama, makin naik ke mataku, menagih hidup
mulut kita haus mencari susu dan mata air
dan pakaian tak malu ketawa lantas sakarat
tanpa menghiraukan keresahan hari
mata kau tutup, bahu kau bawa, leher kau serah
dan rambut kecil menjadi permainan dan teka kata
hidungku sebagai anjing, dan jemariku menghurungmu
senyum nafasmu takal bahuku,
sebagai roda yang seturun dan senaik desahmu
—kau hela akhirnya sekujur ruhwi
dengan sejumlah hayat—sambil kelip matamu mengenyit suka
di antara jariku sudah siap kretek dicucuh tubuh
sedang asapnya nyusup ke dalam luhur canda seriusmu menjadi kota
telah ku jamah, ku takluk seluruhnya di hari yang seperti ini
di hari yang kau pinta aku jajahi, hari yang seperti ini.","The novel was written by Pauline Fan and published in 2010. It is the first of a series of novels set in Indonesia. The book is called ""The Land of the Rising Sun"""
God Was Willing Sis: I’m Home,"Rebuilt our little shotgun house
Daddy bought for $2000 on the G.I. Bill 
Post-WWII in the 7th Ward.
Wide enough to love two families at a time, double,
Long & wide like a bulldog, stocky with a sturdy gait
Seemingly indestructible
With turn-of-the-century
Plaster & lath between walls held by red-brick fireplaces
Anchors for kin to hold on to
Steady, outlasting many storms
From Betsy to Camille, hurricanes that came &
Went like occasional visitors who
Overstay their welcome.
Here, we saved every book we ever had from
Old Bibles listing births, marriages, Deaths, to 
Sherlock Holmes & Harvard Classics,
Two dictionaries American Heritage & Webster’s, plus 
The American Peoples Encyclopedia,
That answered questions Daddy or Mother couldn’t from newspapers:
The States Item, but especially
The Louisiana Weekly
Where Negroes had starring roles as newly married or
Debuted, or swimmers medaled in photos with their
Part-time coaches, who were full-time teachers like 
Vic Vavassaur, with their own kids too
Who spent summers, Saturdays & after-school time 
Teaching us regulation sports from
Baseball, football, swimming to supervised play, where
We were all a team, & neighbors &
Grudges never lasted more than an hour or
No longer than a busted 
Lip that’s gone when the swelling fades &
Heals like our sunburns &
Summers between thundershowers
We see coming blocks away
Our shot-gun castle
Our guardian of refuge from those
Jim Crow days in our 7th Ward Neighborhood
When we had all we needed for comfort, & summer fun of 
Shaved ice or hucklebucks, &
Winters without cold &
No gunshots.",Our shot-gun castle was our guardian of refuge from those Jim Crow days in our 7th Ward Neighborhood. Rebuilt our little shotgun house for $2000 on the G.I. Bill  post-WWII.
In Way of Music Water Answers,"Like water I am eager 
Like water I am thinking 
Like water I always move 
Like water I am thinking time 
open and following eager going 
pathways and open going nowhere
I boat on the way water the way I want to talk ",Like water I am eager                  Like water I always move                  I am thinking time                  Open and following eager going                 pathways and open going nowhere. I boat on the way water the way I want to talk.
Roaming the Forest of Eager Talking,"The eager clattering singing wastes my listening 
and I am over 
ready to run breathing the ways the 
sticks invite my wanting 
I want to think in feeling ways the talking thinks 
in moving ways the sticks invite 
thinking answering their questions 
the eager clattering singing does 
always interrupt the sailing play 
the play is the questions the sailing 
is the tears I know the tears 
will overfill ready to become 
a thinking and feeling I am 
ready to become a loving man","""I want to think in feeling ways the talking thinks"" ""The eager clattering singing wastes my listening"" ""I know the tears  will overfill ready to become a loving man"""
Last Privacy,"Ancient kites, found in deserts 
of the Middle East, are constructions 
aimed at driving and trapping 
game animals. They consist 
of long dry stone walls 
converging on a neck 
which opens into a confined space 
used as the killing floor. 
The last night, unknowingly 
I lovingly effervesced the long catalog 
of my admirations for you into 
your ear. Hammer strike 
anvil. The last morning, 
I studied you sitting 
quietly studying the water 
in the toilet bowl. I brushed 
your hair. Gave you a kiss. 
Told you, “I love you.” Minutes later, 
we walked outside our door the final time,
rode the elevator down together. Crossed
the lobby and vestibule, out the front door
onto the wide sidewalk of our building. 
All the while, unaware of the drive. 
Your last moments under a bluebird sky.
Your last moment standing
at the end of the fatal kite.","Ancient kites, found in deserts of the Middle East, are constructions aimed at driving and trapping game animals. They consist of long dry stone walls, with a neck which opens into a confined space used as the killing floor."
Little Richard,"On a walk past bulldozers and trucks
pouring tarmac for the NJ Eisenhower highway
my grandmother said to me as we turned
into a market with olive barrels, hanging 
meat, piles of sumac and coriander—
“he shakes away my blues.” It was 1959,
and what did I know about starving  
in the Syrian desert or the Turkish whips 
that lashed the bodies of Armenian 
women on the roads of dust. I wouldn’t 
have believed that she saw 
those things. The radio 
was always on the sink in my grandmother’s 
kitchen. “He’s a whirling dervish” she said—
whirling dervish—the whoosh of the phrase 
stayed with me. I too felt his trance—
even then—as she pounded spices
with a brass mortar and pestle.
The air on fire under him
the red clay of Macon dusting his bones.
What did I know about Sufism 
Sister Rosetta or bird feet at the Royal Peacock?
In the yard the bittersweet is drying up,
the berries turning gold and red.
The way memory deepens with light. 
His shaking gospel voice. The heart
going up in flames. My grandmother
survived the worst that humans do.","""He's a whirling dervish,"" my grandmother told me. ""He shakes away my blues"" ""The way memory deepens with light"""
Inspiration,"We waited at the Hemingway bar in Ronda    
   with the little bandit museum outside.

You joked I was a bad American  
  for not wanting to go to the bullfight.

There’s the kind with the stabbing at the end and the other
   where the bull doesn’t die.

You thought the second might get me to write.    
  I asked, Would there still be bullfights without tourists?

Holding a glass of whiskey, I remembered the New York Times 
  neutrally describing cultural value

and profit pitted against animal rights.    
  You bundled salami off a plate and sighed.

I am sorry I tried to help with your poems. Then, smiling,    
  I’d like to be worth your time.",You joked I was a bad American for not wanting to go to the bullfight. There’s the kind with the stabbing at the end and the other where the bull doesn’t die. You bundled salami off a plate and sighed. I’d like to be worth your time.
Emancipation Queen,"“Emancipation Queen” was a historically Black beauty pageant in Utah.
 

       It’s true
that beauty
can be a tool
dually wielded    
      robin’s egg
who would know
come from a red-
breasted bird    
      taffeta gown
named for what
the body made
its blue    
      but not the maker
or the blue
from which come
the robin    
      is that emancipation
to leave beauty behind     
     a Black girl      
     on a stage   
     inside the egg
of a robin    
     a Black girl who is
a robin
repeating the question
 ","“Emancipation Queen” was a historically Black beauty pageant in Utah. “It’s truethat beauty can be a tool.” “I’m proud to be a Black girl who is also a woman,’’ said the queen."
Grief #213,"I grieve forced laughter, shrieks sharp as broken
champagne flutes and the bright white necks I wanted
to press the shards against. I grieve the dead bird of my right
hand on my chest, the air escaping my throat’s prison,
the scream mangled into a mere “ha!” I grieve unearned
exclamations. I grieve saying “you are so funny!” I grieve
saying “you’re killing me!” when I meant to say “you are
killing me.” I have died right in front of you so many times;
my ghost is my plus-one tonight. I grieve being your Black
confidante. I grieve being your best and your only. I grieve
“But you get it, right?” Right. I grieve that I got it
and I get it and I am it.","I grieve forced laughter, shrieks sharp as brokenchampagne flutes and the bright white necks I wanted to press the shards against. I grieve saying “you are so funny!” when I meant to say ‘you’re killing me!’ I have died right in front of you so many times; my ghost is my plus-one tonight."
We Used Our Words We Used What Words We Had,"we used our words we used what words we had

to weld, what words we had we wielded, kneeled,

we knelt. & wept we wrung the wet the sweat

we wracked our lips we rang for words to ward

off sleep to warn to want ourselves. to want

the earth we mouthed it wound our vowels until

it fit, in fits the earth we mounted roused

& rocked we harped we yawned & tried to yawp

& tried to fix, affixed, we facted, felt.

we fattened fanfared anthemed hammered, felt

the words’ worth stagnate, snap in half in heat

the wane the melt what words we’d hoarded halved

& holey, porous. meanwhile tide still tide.

& we: still washed for sounds to mark. & marked.","We used our words to weld, what words we had we wielded, kneeled, and knelt. & wept we wrung the wet the sweat. We rang for words to ward off sleep to warn to want ourselves."
Poem About My Life Mattering,"Asked myself this morning—this usual—where is black life found?
Surely not in an atlas given how they cull the size
of the Continent down as carefully managed roach control,
But other nights I hear myself singing down a well and it sounds
a trumpet or at least the mouth of Joseph trying to have a good time,
you know? When the stars decided the fly tanning on Mike Pence’s
picket-fence hair—was that black life? And should I shed myself
of that chitin and decide this black self—and so grow a spine—
who must I show it to? I wouldn’t recommend history either,
But black life died for me to sip high-fructose liquids with less ice:
no matter whose skin I wear I can’t laugh at that. A parallel history
is right next door and the neighbor’s dog keeps barking my name.","The writer asks himself: Where is black life found? The answer is not in an atlas, he says. But other nights he hears himself singing down a well and it sounds like Joseph, he writes."
The Beauty of Autistic Knowing,"The way of learning pace
was how I learned to string
words the way language paths 
and makes meanings the way
jar of thinking was really

bathing in brine wanting to
for readers to understand
but the management of
language at ABA schools
was demanding speech and

because I couldn’t speak
I was going to the lines of
watchful therapists that tried
the same words over and
over again so I wasn’t

able to express myself
in the ways they thought
I should and that was awful
for me so I want the world
to know that autistic language does a bathing talking feeling

and seeing that immerses
everything and the bathing is
the beauty of autistic knowing.",Autistic language does a bathing talking feeling and seeing that immerses everything and the bathing is the beauty of autistic knowing. The way of learning pace                was how I learned to string together words the way language paths                 and makes meanings.
Fête Gallante,"translated by Richard Aldington

The Morning Star flies from the clouds and the bird cries to the dawn.
Amaryllis, awake! Lead your snowy sheep to pasture while the cold grass glitters with white dew.
To-day I will pasture my goats in a shady valley, for later it will be very hot.
Among those distant hills lies a very great valley cut by a fair stream.
Here there are cold rills and soft pasture and the kind wind engenders many-coloured flowers.
Dear, there I shall be alone, and if you love me, there you will come alone also.
    Lusus Pastorales continens (IV) 
  Jam fugat humentes formosus Lucifer umbras,
    Et dulci Auroram voce salutat avis;
Surge, Amarylli, greges niveos in pascua pelle,
    Frigida dum cano gramina rore madent.
Ipse meas hodie nemorosa in valle capellas
    Pasco, namque hodie maximus æstus erit.
Scis ne Menandrei fontem, & vineta Galefi?
    Et quæ formosus rura Lycambus habet?
Hos inter colles recubat viridissima silva,
    Quam pulcher liquido Mesulus amne secat:
Nec gelidi fontes absunt, nec pabula læta,
    Et varios flores aura benigna parit.
Illic te maneo solus, carissima Nympha:
    Si tibi sum carus, tu quoque sola veni.",The Morning Star flies from the clouds and the bird cries to the dawn. The cold grass glitters with white dew. The kind wind engenders many-coloured flowers.
